Erlang,Simulation,blocked,NUM_OF_REQUESTS
100,0,0,100000
100,1,0,100000
100,2,0,100000
100,3,1,100000
100,4,0,100000
100,5,2,100000
100,6,0,100000
100,7,0,100000
100,8,0,100000
100,9,0,100000
120,0,7,100000
120,1,3,100000
120,2,4,100000
120,3,2,100000
120,4,3,100000
120,5,2,100000
120,6,2,100000
120,7,7,100000
120,8,3,100000
120,9,4,100000
140,0,25,100000
140,1,20,100000
140,2,24,100000
140,3,13,100000
140,4,15,100000
140,5,13,100000
140,6,14,100000
140,7,6,100000
140,8,11,100000
140,9,13,100000
160,0,46,100000
160,1,49,100000
160,2,42,100000
160,3,34,100000
160,4,57,100000
160,5,57,100000
160,6,51,100000
160,7,38,100000
160,8,68,100000
160,9,52,100000
180,0,115,100000
180,1,111,100000
180,2,135,100000
180,3,127,100000
180,4,126,100000
180,5,96,100000
180,6,116,100000
180,7,128,100000
180,8,103,100000
180,9,108,100000
200,0,218,100000
200,1,257,100000
200,2,244,100000
200,3,274,100000
200,4,266,100000
200,5,260,100000
200,6,314,100000
200,7,244,100000
200,8,229,100000
200,9,239,100000
220,0,385,100000
220,1,431,100000
220,2,439,100000
220,3,460,100000
220,4,417,100000
220,5,406,100000
220,6,448,100000
220,7,459,100000
220,8,468,100000
220,9,430,100000
240,0,636,100000
240,1,760,100000
240,2,729,100000
240,3,761,100000
240,4,708,100000
240,5,702,100000
240,6,689,100000
240,7,692,100000
240,8,747,100000
240,9,683,100000
260,0,1063,100000
260,1,986,100000
260,2,932,100000
260,3,1095,100000
260,4,1090,100000
260,5,1044,100000
260,6,1022,100000
260,7,1019,100000
260,8,983,100000
260,9,1037,100000
280,0,1459,100000
280,1,1449,100000
280,2,1368,100000
280,3,1447,100000
280,4,1441,100000
280,5,1588,100000
280,6,1387,100000
280,7,1489,100000
280,8,1491,100000
280,9,1467,100000
300,0,1882,100000
300,1,1941,100000
300,2,1981,100000
300,3,1798,100000
300,4,1882,100000
300,5,1913,100000
300,6,1675,100000
300,7,1959,100000
300,8,1896,100000
300,9,1942,100000
